,0h,1·8h,3·6h,9·1h,10·9h,12·7h,14·5h,16·3h,18·1h,21·8h,29·0h,30·9h,32·7h,36·3h,38·1h,41·7h,43·6h,52·6h,54·4h,56·3h,70·8h,72·6h,74·4h,79·9h,83·5h,87·1h,94·4h,96·2h,98·0h
BV898_00022,0.0,0.0,7.0919319756666654,0.0,5.26596641,7.73850059,0.0,0.0,0.0,0.0,1.4007014713333332,9.520205066666668,11.058358645,11.76789013,0.0,14.5458777,255.41647766800003,665.5278745,1253.760186,1249.1382675,0.0,0.0,0.0,0.0,312.7857177,248.70601383333337,116.4051959,139.2026898,0.0
BV898_00030,8.60269815,7.450500036666667,23.29148801,3.713119441,67.36763943,34.66294172,21.352700233333337,8.640101953,55.726369,83.99318892,35.91651531,14.11359793,14.952836538000001,58.83945067,54.947086525,43.63763309,80.68742310799999,0.0,0.0,0.0,0.0,0.0,117.6699006,0.0,0.0,57.2208805,26.45572634,0.0,0.0
BV898_00035,0.0,0.6579761181666667,0.0,0.0,0.0,12.5349857255,0.0,34.56040781,8.48009963,38.17872223,4.423186742666666,16.813269133333336,9.319478043,105.9110112,53.121747025,276.3716763,397.78700156,1286.687224,565.61431385,619.07640055,152.670529,519.7307541,388.3106721,248.0292459,0.0,197.73808843333333,95.24061483,230.2198332,54.70908444
BV898_00037,0.0,9.753792147499999,2.259036995,0.0,0.0,15.477001175,5.042374197333333,0.0,0.0,0.0,3.022485271333333,14.25270879,0.0,11.76789013,22.2783649915,87.27526619,101.29047646,0.0,213.40687665,163.99754715,88.38820098,1026.785148,617.7669783,129.4065631,0.0,72.73507958333333,116.4051959,524.6870616,106.3787753
BV898_00041,8.60269815,26.65317639,46.78121823,33.41807497,0.0,0.0,0.9291469686666667,5.400063721,35.13184132,22.90723334,48.26553749666667,12.21987627,0.0,23.53578027,58.036085065,145.458777,117.90165758399999,266.2111498,0.0,190.7790143,0.0,0.0,0.0,388.2196892,0.0,39.4626762,39.68358951,0.0,215.7969442
BV898_00042,20.64647556,34.17535840333334,35.02826011,87.87716011,62.283612579999996,173.63533045,180.74626207666665,0.0,23.803250185000003,15.27148889,43.195543023333336,68.57711374666667,61.758585095,164.7504619,3.884671862,29.0917554,46.773212455999996,0.0,412.3291413,0.0,0.0,0.0,94.1359205,0.0,240.6043982,0.0,92.5950422,26.76974804,0.0
BV898_00043,256.3604049,254.07319203849997,257.27681193333336,172.0412008,108.95040874,265.08916985,510.1783708333333,110.1612999,46.179871999999996,274.8868001,131.04355862666668,140.70180486666666,107.93925865,294.1972534,378.91959435,640.0186187,519.59474746,0.0,415.39401345,0.0,216.9528569,215.4981176,105.9029106,0.0,0.0,43.40894383333333,161.3799307,615.704205,39.51211654
BV898_00044,51.6161889,14.672999282666666,17.267785805666666,11.13935832,17.553221365,44.25591199,27.440284203333334,42.12049702,23.01741328,0.0,12.439668943333333,19.276675236666666,18.638956085,82.37523094,24.10370449,58.18351079,86.53020905,0.0,177.15332925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.97473478,32.12369765,15.1969679
BV898_00048,0.0,2.8754421716666667,5.904124088333333,0.0,0.0,9.59297027,31.590996936666667,0.0,0.0,0.0,0.0,2.4634061023333333,14.744478195,23.53578027,0.0,152.7317158,565.81264732,0.0,167.129543785,78.4336095,168.741111,0.0,441.2621274,0.0,102.2568693,101.06091259333333,444.4562025,262.3435308,88.14241383
BV898_00053,125.599393,101.20641835999999,110.52977731333333,61.88532402,10.955601725,94.395854885,63.30581681666666,44.28052251,56.446831,68.72170002,78.02487599,40.780491473333335,74.347466005,11.76789013,77.45944437499999,160.0046547,115.02121290400001,621.1593496,139.5352655,0.0,0.0,0.0,100.0194155,150.9743236,0.0,82.10018983666667,140.2153496,101.7250426,24.31514864
BV898_00059,307.9765938,159.14855218333332,231.31542646666665,74.26238882,35.650976305,234.4557894,76.38857161666667,125.2814783,92.013808685,183.2578667,137.9761887,147.10140531666664,98.20306388,82.37523094,177.05695565000002,276.3716763,373.28982854000003,499.1459059,0.0,325.91414945,0.0,304.2326366,0.0,700.9522166,0.0,34.7453858,0.0,0.0,12.15757432
BV898_00067,125.599393,56.17913399166667,161.42958576666666,56.9344981,26.32983205,25.069971445,52.95854266333333,17.28020391,0.0,38.17872223,102.33519372333335,80.37605658,29.697314730000002,0.0,45.3524033,130.9128993,48.842000368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.6330591,465.793616,121.5757432
BV898_00070,75.70374372,29.991405411666666,233.72879232666665,59.40991106,35.166660875,103.98882517999999,76.45686032666667,51.84061172,38.340563835,53.45021113,116.41308573333333,108.55165569666667,179.01732175,23.53578027,142.0949089,160.0046547,148.44771858599998,0.0,82.07956795,0.0,0.0,0.0,0.0,215.6776051,0.0,37.4895424,0.0,101.7250426,0.0
BV898_00076,985.869208,725.7784577333333,618.0418751333333,477.7547014,432.83295407,140.50623654999998,813.9898527,1082.17277,636.2335263499999,633.7667891,769.2531232666666,721.9321638000001,992.7442948500001,223.5899126,372.4139096,676.383313,375.7644838,2018.767886,660.3836738,207.257214,265.1646029,0.0,1100.213571,345.0841682,0.0,310.5629031966667,60.84817059,0.0,45.5909037
BV898_00079,53.33672853,111.641702275,158.6111935,22.27871665,26.14789248,57.878443485,27.251681888666667,0.0,57.30280802,38.17872223,123.32594634666667,73.87930192,76.50306329,35.3036704,69.45610779,87.27526619,93.489374322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81015371,0.0,21.27575506
BV898_00081,25.80809445,80.46388918833333,168.27817283333334,172.0412008,110.10055080000001,79.68577764,45.098295094,47.52056074,34.135584075000004,15.27148889,177.9808121,182.03873976666668,182.28672465,176.518352,77.2254515,160.0046547,81.634419782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.43332938
BV898_00082,43.01349075,49.30605840216666,34.03569509333334,13.61477128,1.7553221365,20.2734863105,17.351285003666664,5.400063721,19.4579902,0.0,16.25404672666667,9.520205066666668,29.697314730000002,0.0,34.962046755,14.5458777,25.539363659799996,0.0,102.5994599,0.0,0.0,0.0,0.0,0.0,0.0,21.70447191,63.49374322,0.0,0.0
BV898_00083,24.08755482,30.12313884233333,25.677291139999998,125.0083545,34.31932307,54.936428035,12.205938829333334,62.64073916,58.3739706,30.54297779,44.28272536666666,36.52051795333333,53.96962932,23.53578027,47.177742800000004,43.63763309,81.36551963,232.9347561,0.0,0.0,0.0,0.0,135.3203857,0.0,0.0,0.0,13.22786317,0.0,0.0
BV898_00084,197.8620575,114.90410858333333,178.0196275333333,7.426238882,54.474776,127.20432695,133.31843545,153.3618097,21.8808758085,167.9863778,154.31551203333333,219.73454396666668,223.25075635000002,141.2146816,192.59564310000002,101.8211439,121.66515072,288.3954123,131.3273087,0.0,409.7998409,0.0,0.0,248.0292459,360.9065974,53.30317101,42.32916215,182.0342867,0.0
BV898_00085,44.73403038,57.89481721999999,96.8663292,34.65578145,256.0335891,451.0645444,112.98867572666666,90.72107051,67.069255804,22.90723334,137.78261472,88.22916495666668,210.03680045,70.60734081,73.1067868,94.54820504,45.745010276,0.0,54.97861945,0.0,0.0,0.0,64.71844535,0.0,0.0,0.0,0.0,0.0,0.0
BV898_00086,63.65996631,118.10515871666666,99.38908579333332,16.09018424,12.6502773365,62.674928619999996,95.33349940333333,126.3614911,61.147556769999994,53.45021113,76.40309219,92.68344695,57.65574886500001,105.9110112,102.92050263499999,72.72938849,158.45435617999996,643.343612,151.8472007,0.0,0.0,0.0,0.0,183.3259643,0.0,10.423615743333334,58.20259795,0.0,36.47272296
BV898_00087,264.963103,33.77259068666667,35.784668223333334,18.56559721,96.60207892,36.517411405,53.51972808,21.60025488,29.149532635,45.81446668,62.379638220000004,40.87764571666667,33.38343428,164.7504619,87.61580806,123.6399604,226.28925822000002,244.0268873,247.01542625000002,214.6263911,0.0,0.0,205.9223261,118.6226828,0.0,0.0,58.20259795,53.53949609,6.07878716
BV898_00088,326.9025297,315.68655221666666,235.0104256333333,158.4264295,176.74214546000002,243.40751595,190.42782016666663,96.12113423,64.3610445,190.8936112,218.47096906666664,124.42590369666668,81.7197051,376.5724843,119.72284912999999,218.1881655,253.75847902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51900844,107.0789922,88.14241383
BV898_00091,0.0,10.897112576666666,4.333018466666666,0.0,0.0,4.7964851355,16.724645436666666,0.0,0.0,0.0,23.864572996666666,14.683282373333332,0.0,11.76789013,5.710011365,14.5458777,15.115544768000001,0.0,0.0,470.6016571,0.0,278.8799168,476.5630975,0.0,174.4381887,52.118078733333334,0.0,74.95529452,12.15757432
BV898_00092,5.16161889,3.1629863883333336,4.333018466666666,0.0,45.638375555,0.0,7.211677146666666,0.0,0.0,0.0,3.5932954566666666,2.4634061023333333,0.0,47.07156054,15.538687445,43.63763309,33.220895524,0.0,0.0,246.4228935,192.846984,0.0,70.60194038,107.8388026,126.3173091,138.49808983333332,71.43046112,21.41579843,0.0
BV898_00098,24.08755482,85.06137788116666,72.91028384333333,28.46724905,62.40447726000001,17.33147086,21.918104129333333,29.16034409,4.8457712165,83.99318892,50.641215036666665,35.32595144566667,70.45298810999999,35.3036704,50.5007342,21.81881655,41.199644985999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.291145268,74.95529452,0.0
BV898_00100,27.52863408,38.996930747,20.214754175,13.61477128,0.0,12.5349857255,4.238130062,3.240038232,5.987073905,7.635744447,24.49161125666667,7.293064065666667,5.633358495,0.0,10.624349406499999,7.272938849,14.827839276,0.0,0.0,0.0,0.0,0.0,0.0,86.27104205,0.0,0.0,23.81015371,165.9724379,60.7878716
BV898_00110,36.13133223,67.34340209166666,26.994864496666665,34.65578145,52.9616115865,57.878443485,58.29708037,23.76028037,26.937067362,175.6221223,22.206580470000002,28.366306719999997,0.0,47.07156054,34.494061035,65.45644964,25.255066625799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.4329418,3.03939358
BV898_00111,13.76431704,82.03985047166667,64.48040381,27.22954257,4.35798208,12.5349857255,39.1862226,0.0,14.467173535,7.635744447,31.935493223333335,45.65210605666667,27.95843413,0.0,23.07403831,58.18351079,18.797298899999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75820429,7.936717903,0.0,0.0
